conversation_id,timestamp,customer_id,conversation_text,intent,channel,resolved,escalated,response_time_seconds,conversation_length
CONV-00043,2026-04-01 20:28:00,CUST-8433,"Customer: What is the warranty period on this product?
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: Can you be more specific about the limits?
Bot: I can help with that. Could you share a few more details?
Customer: What is the warranty period on this product?
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: Useless. I'll try again later.",Product Information,web,False,False,4.6,7
CONV-00120,2026-04-02 10:27:00,CUST-3677,"Customer: Hi. I'm getting a blank screen after the latest update.
Bot: Please check that notifications are enabled for the app in your phone settings.
Customer: Okay, got it. Thanks for the help.
Bot: Happy to help. Your issue has been marked as resolved.",Technical Issue,mobile_app,True,False,2.1,4
CONV-00030,2026-04-03 08:22:00,CUST-4257,"Customer: The export button isn't working, nothing downloads.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: Still getting the same error. This is the third time I'm trying.
Bot: Try logging out and back in, then retry the export. It should download as a CSV file.
Customer: Great, that worked. Thanks!
Bot: You're welcome! Have a great day.",Technical Issue,mobile_app,True,False,2.5,6
CONV-00119,2026-04-03 09:25:00,CUST-4432,"Customer: How do I contact you by email?
Bot: I understand. Let me check that for you.
Customer: Where exactly on the page? I can't find it.
Bot: The privacy policy is linked at the bottom of every page.
Customer: Okay, got it. Thanks for the help.
Bot: You're welcome! Have a great day.",General Query,web,True,False,3.8,6
CONV-00158,2026-04-03 13:37:00,CUST-2796,"Customer: My payment went through but the invoice still shows as unpaid.
Bot: I can see a duplicate charge on your account. I've raised a reversal and it should reflect in 3-5 business days.
Customer: Perfect, thank you so much.
Bot: You're welcome! Have a great day.",Billing,messaging,True,False,2.1,4
CONV-00141,2026-04-03 16:29:00,CUST-6038,"Customer: Hello, I've contacted support four times about the same problem and it's still not fixed.
Bot: I'm really sorry about your experience. I've logged a formal complaint and a team member will follow up within 24 hours.
Customer: Perfect, thank you so much.
Bot: Glad I could help! Is there anything else I can do for you?",Complaint,web,True,False,4.5,4
CONV-00046,2026-04-04 09:14:00,CUST-9727,"Customer: I received the wrong item in my order.
Bot: I've updated the delivery address. You'll receive a confirmation email shortly.
Customer: Thanks, that's helpful.
Bot: You're welcome! Have a great day.",Order/Transaction,,True,False,,4
CONV-00199,2026-04-04 17:51:00,CUST-3677,"Customer: Hello, The two-factor code isn't coming through to my phone.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: I still haven't received the reset email.
Bot: You can update your email under Settings > Profile. You'll get a verification link at the new address.
Customer: Can I speak to a real person please?
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: I've updated the phone number on your account, so the codes will now arrive correctly.
Customer: I'll wait for the follow-up, but I'm not happy.",Account/Login,mobile_app,False,True,15.8,8
CONV-00013,2026-04-06 16:23:00,CUST-1520,"Customer: Please cancel my order, I don't need it anymore.
Bot: You can close your account under Settings > Account > Close account. Would you like me to do it for you?
Customer: That solved it, thanks.
Bot: Glad I could help! Is there anything else I can do for you?",Cancellation,messaging,True,False,5.5,4
CONV-00103,2026-04-07 17:17:00,CUST-6930,"Customer: Hello, The export button isn't working, nothing downloads.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: I already updated the app and cleared the cache, it still crashes.
Bot: We had a brief service disruption that is now fixed. Could you try again?
Customer: Okay, got it. Thanks for the help.
Bot: You're welcome! Have a great day.",Technical Issue,web,True,False,2.1,6
CONV-00139,2026-04-08 09:59:00,CUST-1916,"Customer: Hello, Does the premium plan include priority support?
Bot: I can help with that. Could you share a few more details?
Customer: Can you be more specific about the limits?
Bot: Yes, we ship to most countries. Shipping costs are shown at checkout.
Customer: Great, that worked. Thanks!
Bot: Happy to help. Your issue has been marked as resolved.",Product Information,web,True,False,3.6,6
CONV-00005,2026-04-08 12:24:00,CUST-2827,"Customer: I'm really frustrated, the product stopped working after one week.
Bot: I can help with that. Could you share a few more details?
Customer: I don't want an apology, I want this fixed.
Bot: I'm really sorry about your experience. I've logged a formal complaint and a team member will follow up within 24 hours.
Customer: Transfer me to customer service, this bot isn't helping.
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: I'm sorry for the repeated trouble. I've arranged a replacement and a goodwill credit.
Customer: Finally, thanks.",Complaint,web,True,True,11.8,8
CONV-00006,2026-04-08 17:03:00,CUST-5315,"Customer: Hello, I'm thinking of cancelling because the price went up.
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: I don't want a discount, I just want to cancel.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: Hello, I'm thinking of cancelling because the price went up.
Bot: I can help with that. Could you share a few more details?
Customer: Never mind.",Cancellation,mobile_app,False,False,1.7,7
CONV-00088,2026-04-08 21:06:00,CUST-5339,"Customer: Does the app work offline?
Bot: The product comes with a 12-month warranty covering manufacturing defects.
Customer: Thanks, that's helpful.
Bot: Glad I could help! Is there anything else I can do for you?",Product Information,messaging,True,False,5.1,4
CONV-00154,2026-04-08 22:42:00,CUST-1949,"Customer: Hi. How do I close my account permanently?
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: I don't want a discount, I just want to cancel.
Bot: You can close your account under Settings > Account > Close account. Would you like me to do it for you?
Customer: I want to talk to a human agent.
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: Hi, I'm from the customer care team. I've cancelled your plan and confirmed no further charges will be made.
Customer: Finally, thanks.",Cancellation,web,True,True,7.8,8
CONV-00067,2026-04-09 13:37:00,CUST-7482,"Customer: Hi. The app keeps crashing when I open my dashboard.
Bot: I can help with that. Could you share a few more details?
Customer: I already updated the app and cleared the cache, it still crashes.
Bot: Try logging out and back in, then retry the export. It should download as a CSV file.
Customer: Can I speak to a real person please?
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: Hi, I'm a technical support engineer. I've logged this as a bug with our product team and applied a workaround to your account.
Customer: I'll wait for the follow-up, but I'm not happy.",Technical Issue,mobile_app,False,True,20.4,8
CONV-00107,2026-04-09 14:49:00,CUST-8019,"Customer: What's the difference between the basic and pro plans?
Bot: The product comes with a 12-month warranty covering manufacturing defects.
Customer: Great, that worked. Thanks!
Bot: Glad I could help! Is there anything else I can do for you?",Product Information,web,True,False,4.4,4
CONV-00206,2026-04-10 08:27:00,CUST-7224,"Customer: I received the wrong item in my order.
Bot: I can help with that. Could you share a few more details?
Customer: I asked about my order, not a generic tracking link.
Bot: I can help with that. Could you share a few more details?
Customer: That doesn't answer my question at all.",Order/Transaction,web,False,False,4.5,5
CONV-00082,2026-04-10 17:36:00,CUST-3621,"Customer: Hello, I'm getting a blank screen after the latest update.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: I already updated the app and cleared the cache, it still crashes.
Bot: I understand. Let me check that for you.
Customer: I want to talk to a human agent.
Bot: Sorry, all our agents are busy right now. Please try again later.
Customer: That doesn't answer my question at all.",Technical Issue,mobile_app,False,False,3.4,7
CONV-00058,2026-04-10 21:22:00,CUST-8668,"Customer: I forgot my password and the reset email never arrives.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: It's still saying invalid password even after the reset.
Bot: You can update your email under Settings > Profile. You'll get a verification link at the new address.
Customer: I want to talk to a human agent.
Bot: I'm transferring you to a human agent now. Please hold on.
Agent: I've updated the phone number on your account, so the codes will now arrive correctly.
Customer: I'll wait for the follow-up, but I'm not happy.",Account/Login,mobile_app,False,True,14.7,8
CONV-00071,2026-04-11 17:38:00,CUST-2519,"Customer: Hey, Where is my order? It was supposed to arrive yesterday.
Bot: Sorry about that. I've arranged a free pickup and a replacement for the correct item.
Customer: That solved it, thanks.
Bot: Glad I could help! Is there anything else I can do for you?",Order/Transaction,web,True,False,2.2,4
CONV-00105,2026-04-11 17:42:00,CUST-5371,"Customer: Hello, What's the difference between the basic and pro plans?
Bot: Yes, we ship to most countries. Shipping costs are shown at checkout.
Customer: Okay, got it. Thanks for the help.
Bot: Glad I could help! Is there anything else I can do for you?",Product Information,mobile_app,True,False,2.8,4
CONV-00147,2026-04-11 21:54:00,CUST-2832,"Customer: I want to give some feedback about the new design.
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: Can I talk to someone else about this?
Bot: Hi! I'm the virtual assistant. How can I help you today?
Customer: Okay, got it. Thanks for the help.
Bot: Happy to help. Your issue has been marked as resolved.",Other,mobile_app,True,False,3.2,6
CONV-00037,2026-04-12 16:14:00,CUST-5374,"Customer: Hey, What is the warranty period on this product?
Bot: The product comes with a 12-month warranty covering manufacturing defects.
Customer: That solved it, thanks.
Bot: Glad I could help! Is there anything else I can do for you?",Product Information,web,True,False,3.3,4
CONV-00156,2026-04-12 19:24:00,CUST-1053,"Customer: Pages are loading really slowly for me today.
Bot: I understand. Let me check that for you.
Customer: Still getting the same error. This is the third time I'm trying.
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: I want to talk to a human agent.
Bot: Sorry, all our agents are busy right now. Please try again later.
Customer: This isn't helping. Forget it.",Technical Issue,,False,False,,7
CONV-00233,2026-04-13 10:36:00,CUST-1916,"Customer: Can I get a refund instead of store credit?
Bot: I understand. Let me check that for you.
Customer: It has been more than 7 business days already.
Bot: I understand. Let me check that for you.
Customer: Can I get a refund instead of store credit?
Bot: Sorry, I didn't quite get that. Could you rephrase your question?
Customer: I need to speak with a human, this is urgent.
Bot: Sorry, all our agents are busy right now. Please try again later.
Customer: Never mind.",Refund,messaging,False,False,5.0,9
CONV-00155,2026-04-13 11:15:00,CUST-6310,"Customer: Hello, I see an extra charge on my invoice that I don't recognise.
Bot: I can help with that. Could you share a few more details?
Customer: Again, the amount on my bill is wrong.
Bot: I understand. Let me check that for you.
Customer: This isn't helping. Forget it.",Billing,web,False,False,2.4,5
CONV-00216,2026-04-13 14:42:00,CUST-1319,"Customer: Hi, I was charged twice for my subscription this month.
Bot: I understand. Let me check that for you.
Customer: Again, the amount on my bill is wrong.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: Useless. I'll try again later.",Billing,mobile_app,False,False,2.6,5
CONV-00220,2026-04-13 17:19:00,CUST-9785,"Customer: I can't log in to my account, it keeps saying invalid password.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: I still haven't received the reset email.
Bot: Here is an article that might help: Help Centre > Getting started.
Customer: Never mind.",Account/Login,mobile_app,False,False,3.0,5
